date,open,high,low,close,volume,average,barCount,symbol
2025-01-17,596.95,599.36,595.61,597.58,26394415.0,597.836,126155,SPY
2025-01-21,600.67,603.05,598.67,603.05,22761221.0,601.523,112126,SPY
2025-01-22,605.92,607.82,605.36,606.44,22574184.0,606.788,108937,SPY
2025-01-23,605.8,609.75,605.52,609.75,21946613.0,607.498,96194,SPY
2025-01-24,609.81,610.78,606.8,607.97,19028622.0,608.566,94416,SPY
2025-01-27,594.83,599.69,594.64,599.37,37080052.0,597.614,207943,SPY
2025-01-28,600.62,605.37,597.25,604.52,24853267.0,602.836,131231,SPY
2025-01-29,603.71,604.13,599.22,601.81,21116841.0,601.987,117688,SPY
2025-01-30,603.98,606.6,600.71,605.04,24777321.0,604.005,123309,SPY
2025-01-31,607.5,609.96,601.05,601.82,38557975.0,605.073,194713,SPY
2025-02-03,592.67,600.29,590.49,597.77,41524577.0,596.38,214173,SPY
2025-02-04,597.8,602.3,597.28,601.78,20818069.0,600.759,105703,SPY
2025-02-05,600.64,604.37,598.58,604.22,18097235.0,602.046,95436,SPY
2025-02-06,605.98,606.46,602.63,606.32,19840411.0,605.134,101350,SPY
2025-02-07,606.89,608.13,600.05,600.77,29693767.0,602.846,161423,SPY
2025-02-10,603.99,605.5,602.74,604.85,15931563.0,604.463,81751,SPY
2025-02-11,602.55,605.86,602.43,605.31,16664387.0,604.474,85038,SPY
2025-02-12,599.23,604.55,598.51,603.36,22933607.0,602.287,118975,SPY
2025-02-13,604.48,609.94,603.2,609.73,26871337.0,607.505,140212,SPY
2025-02-14,609.94,610.99,609.07,609.7,15807651.0,610.11,88590,SPY
2025-02-18,610.88,611.49,608.38,611.49,16759754.0,610.028,85715,SPY
2025-02-19,610.08,613.23,609.56,612.93,16556431.0,611.667,85391,SPY
2025-02-20,611.55,611.69,607.02,610.38,21250139.0,609.096,104459,SPY
2025-02-21,610.17,610.3,599.47,599.94,36057913.0,603.369,178347,SPY
2025-02-24,602.02,603.03,596.49,597.21,30016001.0,599.202,157841,SPY
2025-02-25,597.16,597.89,589.56,594.24,34262429.0,593.741,187206,SPY
2025-02-26,595.91,599.58,591.85,594.54,26729200.0,595.706,142185,SPY
2025-02-27,596.85,598.02,584.65,585.05,41098228.0,590.768,219066,SPY
2025-02-28,585.56,594.72,582.44,594.18,49251377.0,587.587,259007,SPY
2025-03-03,596.18,597.34,579.9,583.77,48223984.0,588.001,263884,SPY
2025-03-04,579.71,585.39,572.25,576.86,61613694.0,577.655,336257,SPY
2025-03-05,576.71,584.88,573.07,583.06,45265395.0,579.523,237004,SPY
2025-03-06,575.48,580.18,570.12,572.71,48654380.0,574.023,262681,SPY
2025-03-07,570.9,577.39,565.63,575.92,52103309.0,572.28,275361,SPY
2025-03-10,567.59,569.54,555.59,560.58,56901783.0,562.35,305895,SPY
2025-03-11,559.4,564.02,552.02,555.92,55380151.0,557.709,303647,SPY
